Date,Adj Close,Close,High,Low,Open,Volume
2024-07-09,114.04,115.75,117.15,114.5,115.6,16996375
2024-07-10,114.54,116.25,116.3,114.35,115.35,10714018
2024-07-11,117.15,118.9,119.35,117.5,118.05,14894726
2024-07-12,113.9,115.6,116.75,115.35,116.65,20722548
2024-07-15,113.7,115.4,117,115.3,117,12671696
2024-07-16,114.28,115.2,116.6,114.7,115.05,17003147
2024-07-17,112.79,113.7,115,113.4,114.95,11703957
2024-07-18,110.51,111.4,111.75,110.15,111.1,15892598
2024-07-19,108.13,109,110.65,109,110.45,12300768
2024-07-22,104.75,105.6,108.75,105.4,108.75,19837798
2024-07-23,107.78,108.65,108.65,107.35,107.8,9831441
2024-07-26,103.96,104.8,105.05,103.6,103.85,21571505
2024-07-29,104.8,105.65,106.7,105.2,106,8044747
2024-07-30,104.9,105.75,106,103.9,104.7,10312144
2024-07-31,104.8,105.65,105.95,104.5,104.9,6378222
2024-08-01,106.69,107.55,108.3,106.75,108.1,6836760
2024-08-02,101.58,102.4,104.7,102.4,104.5,20967751
2024-08-05,92.95,93.7,97.35,93.55,97.35,50711263
2024-08-06,96.77,97.55,99.6,94.35,97.4,44483198
2024-08-07,100.69,101.5,101.75,98.85,98.95,16546398
2024-08-08,98.9,99.7,100.85,98.9,99.85,14885257
2024-08-09,101.88,102.7,103.4,101.85,102.95,9207170
2024-08-12,103.22,104.05,104.95,103.5,103.75,8417268
2024-08-13,103.56,104.4,105,104.15,105,5824171
2024-08-14,104.8,105.65,106.35,105.4,106,8870255
2024-08-15,104.21,105.05,105.85,104.85,105.6,7000594
2024-08-16,106.49,107.35,107.5,106.75,107,9776099
2024-08-19,106.59,107.45,108,107.15,107.4,4974769
2024-08-20,106.64,107.5,108.35,107.35,107.75,5009201
2024-08-21,105.4,106.25,107,106.2,107,5324519
2024-08-22,104.95,105.8,106.75,105.55,106.25,2914289
2024-08-23,105.1,105.95,106,104.9,105.1,4194063
2024-08-26,105.05,105.9,107.3,105.75,106.55,6310200
2024-08-27,104.65,105.5,105.7,105,105.35,3554139
2024-08-28,106.09,106.95,106.95,105.15,105.7,3814004
2024-08-29,104.9,105.75,106.1,104.7,105,5901082
2024-08-30,104.9,105.75,106.5,105.75,106,4588136
2024-09-02,104.8,105.65,106.6,105.55,106.45,5119245
2024-09-03,104.51,105.35,106.3,105.15,106.2,4352750
2024-09-04,99.5,100.3,101.65,99.6,100.65,30222878
2024-09-05,99.94,100.75,102.25,100.55,101.4,6690210
2024-09-06,101.33,102.15,102.4,100.55,101.05,6464982
2024-09-09,99.69,100.5,100.55,99.6,99.85,15073740
2024-09-10,99.74,100.55,101.35,100.1,101.25,6550810
2024-09-11,99.5,100.3,100.85,100.3,100.65,5688269
2024-09-12,103.17,104,104.25,102.9,103.3,6698537
2024-09-13,103.56,104.4,105,103.85,105,4538394
2024-09-16,103.96,104.8,105,104.25,104.45,5300424
2024-09-18,103.07,103.9,104.75,103.4,104.5,4586707
2024-09-19,104.51,105.35,105.35,103.6,103.9,4424447
2024-09-20,105.75,106.6,107.55,106.6,106.95,7852780
2024-09-23,106.14,107,107.3,106.7,107.1,4191398
2024-09-24,107.18,108.05,108.1,106.45,107,5912298
2024-09-25,108.92,109.8,109.85,109.25,109.3,7287202
2024-09-26,109.66,110.55,111.05,110.3,110.3,8893328
2024-09-27,109.42,110.3,111.85,110.2,111.15,7065700
2024-09-30,106.64,107.5,109.3,107.5,108.95,12665256
2024-10-01,106.64,107.5,107.9,107.1,107.55,7047038
2024-10-04,106.64,107.5,108.45,107.05,108,6902566
2024-10-07,109.07,109.95,110.1,108.65,108.65,10678866
2024-10-08,108.57,109.45,109.75,108.6,109.65,10061297
2024-10-09,109.86,110.75,111.35,110.7,110.8,7600288
2024-10-11,111.75,112.65,112.95,111.2,111.35,9175558
2024-10-14,111.9,112.8,113.3,111.85,113.2,11459670
2024-10-15,114.03,114.95,115.2,113.45,113.5,9499063
2024-10-16,112.24,113.15,114.55,112.3,112.9,16306146
2024-10-17,112.29,113.2,114.2,112.45,114.2,8934675
2024-10-18,114.97,115.9,117.2,115.45,116.75,16562479
2024-10-21,115.27,116.2,117.15,116,116.8,8589462
2024-10-22,114.67,115.6,115.9,114.55,115.9,10948630
2024-10-23,113.98,114.9,115.45,114.55,115.35,12407223
2024-10-24,113.28,114.2,115.3,114,115,10556928
2024-10-25,114.08,115,115.15,114.45,114.45,4748862
2024-10-28,113.93,114.85,116.1,114.35,115.8,16149092
2024-10-29,111.85,112.75,113.65,111.7,113.5,26116189
2024-10-30,111.3,112.2,113.85,112.05,113.15,15395446
2024-11-01,110.76,111.65,111.9,108.5,109.7,22034360
2024-11-04,112.24,113.15,113.3,111.8,112,9174086
2024-11-05,112.54,113.45,113.95,112.3,112.55,11218887
2024-11-06,113.48,114.4,116,113.45,113.65,16033982
2024-11-07,114.48,115.4,116,114,114.3,13295992
2024-11-08,115.52,116.45,116.9,116.35,116.45,10957131
2024-11-11,115.52,116.45,116.45,115.2,116.4,12282635
2024-11-12,112.79,113.7,114.75,113.7,114.5,23345159
2024-11-13,112.04,112.95,113.65,112.9,113.4,12635345
2024-11-14,111.15,112.05,112.7,111.6,112.7,14095161
2024-11-15,111.4,112.3,113,111.85,112.65,9154630
2024-11-18,110.4,110.4,111.35,110.15,111.25,16562756
2024-11-19,111.45,111.45,111.95,110.4,110.65,8548471
2024-11-20,111.2,111.2,111.2,111.2,111.2,105997
2024-11-21,109.9,109.9,110.55,109.6,110.1,15293772
